"","nis_code","ID","sex","age_category","increased_compensation","practice_id","ncases","npatients"
"216",11002,2,"F","(16,50]","Yes","590dd5d9-e5ef-433d-a575-2111f82df6bf",0,3
"217",11002,2,"F","(16,50]","Yes","6152b578-b744-4ef7-9570-80dc0371a028",0,1
"218",11002,2,"F","(16,50]","Yes","64d17fa0-0d35-478d-bcb3-9b4d48f6b8fd",16,411
"219",11002,2,"F","(16,50]","Yes","6656fc5b-e8fb-474b-a93a-003d06326051",6,92
"220",11002,2,"F","(16,50]","Yes","905ee4e8-ed75-488a-a9ff-c7d44bfc3b1d",14,408
"221",11002,2,"F","(16,50]","Yes","a5813f61-c084-42ef-963f-1d8343881313",0,1
"222",11002,2,"F","(16,50]","Yes","bfc8cf00-2c6f-47b0-81c6-08a164a9e450",0,1
"223",11002,2,"F","(16,50]","Yes","d3d14d04-85f9-4a6a-bf01-94074444886b",6,299
"224",11002,2,"F","(16,50]","Yes","dee52db4-e619-4f9c-bf45-9b9c91ee8693",0,1
"225",11002,2,"F","(5,16]","No","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",0,7
"226",11002,2,"F","(5,16]","No","15b39ce4-97e2-4f75-986d-d0120c628875",0,3
"227",11002,2,"F","(5,16]","No","167e9787-8650-11e6-93e4-0050568a1344",0,2
"228",11002,2,"F","(5,16]","No","1684eb18-8650-11e6-93e4-0050568a1344",0,2
"229",11002,2,"F","(5,16]","No","16861f2e-8650-11e6-93e4-0050568a1344",0,5
"230",11002,2,"F","(5,16]","No","16868936-8650-11e6-93e4-0050568a1344",0,1
"231",11002,2,"F","(5,16]","No","16871b22-8650-11e6-93e4-0050568a1344",0,1
"232",11002,2,"F","(5,16]","No","16886497-8650-11e6-93e4-0050568a1344",2,76
"233",11002,2,"F","(5,16]","No","1688ebe0-8650-11e6-93e4-0050568a1344",1,67
"234",11002,2,"F","(5,16]","No","1be5b4ee-fbb9-4418-a280-05153ea9f152",0,15
"235",11002,2,"F","(5,16]","No","1d2d68a3-0583-47b4-9aba-cbdf405dd253",0,1
"236",11002,2,"F","(5,16]","No","1f244dd7-ce06-4782-8352-18485e0a2bad",0,1
"237",11002,2,"F","(5,16]","No","30f14db2-dae8-400f-a2f4-efb62482cc8e",3,122
"238",11002,2,"F","(5,16]","No","3293316e-d36c-45e6-88cc-b33187d6b9ed",0,7
"239",11002,2,"F","(5,16]","No","3a3a682a-0f56-4ef6-9761-0c149ef46333",3,161
"240",11002,2,"F","(5,16]","No","4dec7ba5-4230-491e-a235-4d4227946a9a",1,159
"241",11002,2,"F","(5,16]","No","5597fa3c-0af7-4956-ba31-4b4bf77db9e4",0,4
"242",11002,2,"F","(5,16]","No","590dd5d9-e5ef-433d-a575-2111f82df6bf",0,14
"243",11002,2,"F","(5,16]","No","5c6b3874-e1e0-43c1-9e8f-0d1cbead2769",0,2
"244",11002,2,"F","(5,16]","No","64d17fa0-0d35-478d-bcb3-9b4d48f6b8fd",5,185
"245",11002,2,"F","(5,16]","No","6656fc5b-e8fb-474b-a93a-003d06326051",2,47
"246",11002,2,"F","(5,16]","No","905ee4e8-ed75-488a-a9ff-c7d44bfc3b1d",2,105
"247",11002,2,"F","(5,16]","No","d3d14d04-85f9-4a6a-bf01-94074444886b",0,65
"248",11002,2,"F","(5,16]","Yes","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",0,1
"249",11002,2,"F","(5,16]","Yes","167e9787-8650-11e6-93e4-0050568a1344",0,1
"250",11002,2,"F","(5,16]","Yes","16861f2e-8650-11e6-93e4-0050568a1344",1,5
"251",11002,2,"F","(5,16]","Yes","16880d1d-8650-11e6-93e4-0050568a1344",1,1
"252",11002,2,"F","(5,16]","Yes","16886497-8650-11e6-93e4-0050568a1344",3,46
"253",11002,2,"F","(5,16]","Yes","1688ebe0-8650-11e6-93e4-0050568a1344",0,17
"254",11002,2,"F","(5,16]","Yes","1be5b4ee-fbb9-4418-a280-05153ea9f152",0,1
"255",11002,2,"F","(5,16]","Yes","30f14db2-dae8-400f-a2f4-efb62482cc8e",0,87
"256",11002,2,"F","(5,16]","Yes","3a3a682a-0f56-4ef6-9761-0c149ef46333",0,107
"257",11002,2,"F","(5,16]","Yes","4dec7ba5-4230-491e-a235-4d4227946a9a",0,54
"258",11002,2,"F","(5,16]","Yes","5cf6a919-212c-4755-b7c4-4ff62c9cf719",0,1
"259",11002,2,"F","(5,16]","Yes","64d17fa0-0d35-478d-bcb3-9b4d48f6b8fd",4,184
"260",11002,2,"F","(5,16]","Yes","6656fc5b-e8fb-474b-a93a-003d06326051",0,20
"261",11002,2,"F","(5,16]","Yes","905ee4e8-ed75-488a-a9ff-c7d44bfc3b1d",5,203
"262",11002,2,"F","(5,16]","Yes","d3d14d04-85f9-4a6a-bf01-94074444886b",0,137
"263",11002,2,"F","(50,65]","No","12335ea7-2ccd-4729-9c05-1dbb4f9e07bc",0,11
"264",11002,2,"F","(50,65]","No","15b39ce4-97e2-4f75-986d-d0120c628875",0,11
"265",11002,2,"F","(50,65]","No","167cb900-8650-11e6-93e4-0050568a1344",0,1
"266",11002,2,"F","(50,65]","No","167e4772-8650-11e6-93e4-0050568a1344",0,1
"267",11002,2,"F","(50,65]","No","167e9787-8650-11e6-93e4-0050568a1344",0,4
"268",11002,2,"F","(50,65]","No","167ef4cc-8650-11e6-93e4-0050568a1344",0,1
"269",11002,2,"F","(50,65]","No","1684eb18-8650-11e6-93e4-0050568a1344",0,7
"270",11002,2,"F","(50,65]","No","1685d1fd-8650-11e6-93e4-0050568a1344",0,1
"271",11002,2,"F","(50,65]","No","16861f2e-8650-11e6-93e4-0050568a1344",12,58
"272",11002,2,"F","(50,65]","No","16868936-8650-11e6-93e4-0050568a1344",0,2
"273",11002,2,"F","(50,65]","No","1686963a-8650-11e6-93e4-0050568a1344",0,1
"274",11002,2,"F","(50,65]","No","1686d888-8650-11e6-93e4-0050568a1344",0,1
"275",11002,2,"F","(50,65]","No","16886497-8650-11e6-93e4-0050568a1344",8,99
"276",11002,2,"F","(50,65]","No","1688ebe0-8650-11e6-93e4-0050568a1344",2,87
"277",11002,2,"F","(50,65]","No","1be5b4ee-fbb9-4418-a280-05153ea9f152",0,44
